Entity Name,EPA Holdings,LLC Holdings,Difference
Aspen Technology Inc,4477,1583,2894
Associated Banc-Corp,248168,124968,123200
Assurant Inc,71094,64994,6100
Assured Guaranty Ltd,623200,645718,-22518
Astec Industries Inc,22550,18650,3900
AstraZeneca PLC,56847,59117,-2270
AT&T Inc,3493418,3719937,-226519
Athene Holding Ltd,740501,712682,27819
Atlantic Tele-Network Inc,10598,9298,1300
Atlas Air Worldwide Holdings Inc,38920,32620,6300
Atlassian Corp PLC,25779,44285,-18506
Atmos Energy Corp,77791,59180,18611
Autodesk Inc,49512,51165,-1653
Automatic Data Processing Inc,81049,134549,-53500
AutoNation Inc,50727,50727,0
AutoZone Inc,50617,45877,4740
Avago Technologies Ltd,222130,269121,-46991
AvalonBay Communities Inc,135670,142920,-7250
Avangrid Inc,85111,56823,28288
Avanos Medical Inc,41454,33054,8400
Avantor Inc,19149,13470,5679
Avery Dennison Corp,22000,22800,-800
Avis Budget Group Inc,54034,53034,1000
Avista Corp,31600,18900,12700
Avnet Inc,804503,642553,161950
AXA Equitable Holdings Inc,1347158,1359994,-12836
Axcelis Technologies Inc,43000,43000,0
AZZ Inc,26600,22500,4100
B&G Foods Inc,70301,50701,19600
Badger Meter Inc,23652,20752,2900
Baker Hughes a GE Co,428631,370575,58056
Balchem Corp,22934,21434,1500
Ball Corp,65784,63484,2300
Banc of California Inc,71221,65021,6200
BancorpSouth Inc,74875,65875,9000
Bank of America Corp,8740857,9400479,-659622
Bank of Hawaii Corp,37766,37766,0
Bank of Montreal,32217,31893,324
Bank of New York Mellon Corp/The,250076,284298,-34222
Bank of Nova Scotia/The,55399,55399,0
Bank of the Ozarks Inc,113293,102893,10400
BankUnited Inc,24900,3400,21500
Banner Corp,35586,31586,4000
Barnes Group Inc,33672,30872,2800
Barrick Gold Corp,75818,75600,218
Baxter International Inc,70235,132922,-62687
BB&T Corp,273478,308086,-34608
BCE Inc,22748,22748,0
Becton Dickinson and Co,115466,113236,2230
Bed Bath & Beyond Inc,138620,138620,0
BeiGene Ltd,1850,1850,0
Belden Inc,34419,30019,4400
BELLUS Health Inc,40313,40313,0
Benchmark Electronics Inc,43123,38623,4500
Berkshire Hathaway Inc,1847181,1840025,7156
Best Buy Co Inc,401162,531375,-130213
Beyond Meat Inc,4615,0,4615
BGC Partners Inc,542374,542374,0
Big Lots Inc,40701,40701,0
Biogen Idec Inc,276302,279034,-2732
Biohaven Pharmaceutical Holding Co Ltd,25426,27429,-2003
BioMarin Pharmaceutical Inc,10550,0,10550
Bio-Rad Laboratories Inc,17068,13068,4000
BioTechne Corp,27986,25486,2500
BioTelemetry Inc,31237,28937,2300
BJ's Wholesale Club Holdings Inc,50300,0,50300
Black Hills Corp,43548,41048,2500
Blackbaud Inc,37630,34830,2800
BlackBerry Ltd,14600,14600,0
Blackline Inc,289297,288203,1094
BlackRock Inc,14806,11852,2954
Blackstone Group LP,91279,96960,-5681
Bloomin' Brands Inc,88700,88700,0
Blucora Inc,45338,37938,7400
Blueprint Medicines Corp,22826,21511,1315
Boeing Co/The,709487,756347,-46860
BofI Holding Inc,48671,44071,4600
Boise Cascade Co,38035,35235,2800
Bonanza Creek Energy Inc,30400,25600,4800
Booking Holdings Inc,15701,15213,488
Boot Barn Holdings Inc,25800,25100,700
Booz Allen Hamilton Holding Corp,44315,44315,0
BorgWarner Inc,838910,738910,100000
Boston Private Financial Holdings Inc,89275,74875,14400
Boston Properties Inc,32102,33302,-1200
Boston Scientific Corp,508582,434276,74306
Bottomline Technologies de Inc,36318,36318,0
Box Inc,8436,8436,0
BP PLC,72070,0,72070
Brady Corp,41053,36353,4700
Brandywine Realty Trust,483743,54258,429485
Bridgebio Pharma Inc,110425,100268,10157
Bright Horizons Family Solutions Inc,19120,0,19120
Brighthouse Financial Inc,647852,264000,383852
Brinker International Inc,42231,39031,3200
Brink's Co/The,39837,35237,4600
Bristol-Myers Squibb Co,1190955,1266965,-76010
Brixmor Property Group Inc,1623900,1815350,-191450
Broadridge Financial Solutions Inc,45093,42743,2350
Brookfield Asset Management Inc,150296,154088,-3792
Brookfield Property Partners LP,2656,2656,0
Brooks Automation Inc,56872,56372,500
Brown & Brown Inc,256173,198010,58163
Brunswick Corp/DE,66254,59354,6900
Buckle Inc/The,30417,30417,0
Bunge Ltd,29750,12900,16850
Cabaletta Bio Inc,25000,0,25000
Cable One Inc,7731,7021,710
Cabot Corp,46656,39356,7300
Cabot Microelectronics Corp,25869,20769,5100
Cabot Oil & Gas Corp,863009,1333048,-470039
CACI International Inc,32952,26438,6514
Cadence Design Systems Inc,224883,239710,-14827
CAE Inc,7204,7204,0
CalAmp Corp,43890,38690,5200
Calavo Growers Inc,16802,13802,3000
Caleres Inc,46296,46296,0
California Water Service Group,40036,38036,2000
Callaway Golf Co,93456,93456,0
Cal-Maine Foods Inc,31318,24618,6700
Camden Property Trust,91403,74703,16700
Cameco Corp,17500,17500,0
Campbell Soup Co,115631,88992,26639
Canadian Imperial Bank of Commerce/Canada,23545,23545,0
Canadian National Railway Co,35400,35400,0
Canadian Natural Resources Ltd,51200,51200,0
Canadian Pacific Railway Ltd,6900,6900,0
Cantel Medical Corp,31814,23787,8027
Capital One Financial Corp,402859,489664,-86805
Capstead Mortgage Corp,140043,137143,2900
Carbylan Therapeutics Inc,8506,6312,2194
Cardinal Health Inc,611492,761685,-150193
Cardiovascular Systems Inc,28800,20300,8500
Cardtronics Inc,32253,32253,0
Care.com Inc,32300,30800,1500
CareDx Inc,1000,5915,-4915
Career Education Corp,47100,31000,16100
CareTrust REIT Inc,97434,76434,21000
Carlisle Cos Inc,129087,76443,52644
CarMax Inc,71024,33124,37900
Carnival Corp,228161,295019,-66858
Carpenter Technology Corp,36052,31852,4200
Carter's Inc,32565,31165,1400
Castle Biosciences Inc,20351,19351,1000
Catalent Inc,122587,103398,19189
Caterpillar Inc,309056,284148,24908
Cathay General Bancorp,59858,54958,4900
Cato Corp/The,28428,26228,2200
Cavco Industries Inc,6500,5800,700
CBOE Holdings Inc,50158,44400,5758
CBRE Group Inc,604347,592297,12050
CBS Corp,90948,110240,-19292
CDK Global Inc,93890,85690,8200
CDW Corp/DE,108701,70761,37940
Celanese Corp,82910,107900,-24990
Cenovus Energy Inc,38072,37892,180
Centene Corp,534136,386730,147406
CenterPoint Energy Inc,151239,149939,1300
Central Garden & Pet Co,42136,37736,4400
Central Pacific Financial Corp,26700,23800,2900
Century Aluminum Co,78924,63924,15000
Century Communities Inc,21600,11900,9700
CenturyLink Inc,282867,286817,-3950
Cerence Inc,56428,0,56428
Ceridian HCM Holding Inc,86781,6560,80221
Cerner Corp,217427,328782,-111355
CEVA Inc,25351,25351,0
CF Industries Holdings Inc,294271,288127,6144
CGI Group Inc,14700,14700,0
CH Robinson Worldwide Inc,45198,32462,12736
Change Healthcare Inc,52438,0,52438
ChannelAdvisor Corp,13148,13148,0
Charles River Laboratories International Inc,42554,37693,4861
Charles Schwab Corp/The,366272,386187,-19915
Chart Industries Inc,30570,23870,6700
Charter Communications Inc,263512,114998,148514
Check Point Software Technologies Ltd,6150,10474,-4324
Cheesecake Factory Inc/The,52017,44017,8000
Chefs' Warehouse Inc/The,24900,21600,3300
Chemed Corp,23556,22266,1290
Chemical Financial Corp,97463,78663,18800
ChemoCentryx Inc,3697,0,3697
Chemours Co/The,134276,118476,15800
Cheniere Energy Inc,16330,16330,0
Chesapeake Energy Corp,1694900,0,1694900
Chevron Corp,3163732,3386485,-222753
Children's Place Inc/The,60441,48613,11828
Chimera Investment Corp,140740,235650,-94910
Chipotle Mexican Grill Inc,4178,3978,200
Choice Hotels International Inc,19021,7840,11181
Chubb Corp/The,108913,158371,-49458
Church & Dwight Co Inc,167013,155557,11456
Chuy's Holdings Inc,14800,8900,5900
Ciena Corp,124702,135424,-10722
Cimarex Energy Co,151094,234607,-83513
Cincinnati Financial Corp,72528,72178,350
Cinemark Holdings Inc,630762,678382,-47620
Cintas Corp,30421,27171,3250
CIRCOR International Inc,14100,11400,2700
Cirrus Logic Inc,45321,45321,0
Cisco Systems Inc,2729733,2310197,419536
CIT Group Inc,249889,35592,214297
Citigroup Inc,3061305,3039767,21538
Citizens Financial Group Inc,992603,705531,287072
Citrix Systems Inc,322616,279216,43400
Clean Harbors Inc,41235,35335,5900
Clearwater Paper Corp,25000,25000,0
Cliffs Natural Resources Inc,106200,0,106200
Clorox Co/The,389314,404384,-15070
Cloudera Inc,10301,10301,0
CloudFlare Inc,25577,5000,20577
CME Group Inc/IL,1341758,1339582,2176
CMS Energy Corp,190784,183484,7300
CNA Financial Corp,16619,16619,0
CNH Industrial NV,67800,67800,0
CNO Financial Group Inc,143267,114367,28900
Coach Inc,662612,396198,266414
Cogent Communications Holdings Inc,34097,28497,5600
Cognex Corp,313638,309441,4197
Cognizant Technology Solutions Corp,1832895,1795908,36987
Coherent Inc,18534,37734,-19200
Coherus Biosciences Inc,17734,12559,5175
Cohu Inc,44600,44300,300
Colfax Corp,71800,71200,600
Colgate-Palmolive Co,498954,435182,63772
Colony NorthStar Inc,69659,0,69659
Columbia Banking System Inc,64287,59287,5000
Columbia Property Trust Inc,33743,0,33743
Columbia Sportswear Co,17553,18232,-679
Comcast Corp,2399989,3262281,-862292
Comerica Inc,76839,40500,36339
Comfort Systems USA Inc,31203,28303,2900
Commerce Bancshares Inc/MO,98257,86079,12178
Commercial Metals Co,113203,82503,30700
Communication Services Select Sector SPDR Fund,10424,10424,0
Community Bank System Inc,44387,40187,4200
CommVault Systems Inc,35866,28166,7700
Compass Minerals International Inc,30853,24153,6700
ConAgra Foods Inc,275006,277932,-2926
Concho Resources Inc,78918,71313,7605
CONMED Corp,23620,23620,0
Conn's Inc,26800,26000,800
ConocoPhillips,2189971,2469600,-279629
CONSOL Energy Inc,231355,217155,14200
Consolidated Edison Inc,240533,246233,-5700
Consumer Discretionary Select Sector SPDR Fund,58627,47906,10721
Continental Resources Inc/OK,11403,11403,0
Cooper Cos Inc/The,10633,27368,-16735
Cooper Tire & Rubber Co,43620,41620,2000
Cooper-Standard Holding Inc,19551,17351,2200
Copart Inc,79940,67600,12340
Core Laboratories NV,42806,36606,6200
CoreLogic Inc/United States,78881,61817,17064
CoreSite Realty Corp,29052,40372,-11320
Corning Inc,378026,587496,-209470
Corporate Office Properties Trust,194804,181504,13300
Corteva Inc,113719,144197,-30478
CoStar Group Inc,217446,187780,29666
Costco Wholesale Corp,502768,493512,9256
Coty Inc,235995,257459,-21464
Coupa Software Inc,3164,2556,608
Cousins Properties Inc,130362,115362,15000
Cracker Barrel Old Country Store Inc,24101,22201,1900
Crane Co,44214,45810,-1596
Cree Inc,84356,75556,8800
Crinetics Pharmaceuticals Inc,2208,2208,0
Crocs Inc,50190,49790,400
Cross Country Healthcare Inc,43438,39638,3800
Crosstex Energy Inc,57663,0,57663
Crowdstrike Holdings Inc,97237,86964,10273
Crown Castle International Corp,144846,112549,32297
Crown Holdings Inc,169937,161064,8873
CSG Systems International Inc,31203,28603,2600
CSX Corp,224271,293041,-68770
CubeSmart,33541,0,33541
Cubic Corp,25536,21336,4200
Cullen/Frost Bankers Inc,50569,42169,8400
Cummins Inc,353745,381295,-27550
Curtiss-Wright Corp,41772,33472,8300
Customers Bancorp Inc,47984,43584,4400
Cutera Inc,10700,3300,7400
CVB Financial Corp,94272,85672,8600
CVR Energy Inc,26680,8059,18621
CVS Caremark Corp,233280,221419,11861
CyberArk Software Ltd,9472,8535,937
CyrusOne Inc,125806,131155,-5349
Cytokinetics Inc,65900,57400,8500
Dana Holding Corp,123279,105779,17500
Danaher Corp,2120306,2104209,16097
Darden Restaurants Inc,357682,422936,-65254
Darling International Inc,129004,109304,19700
Datadog Inc,34657,1000,33657
Dave & Buster's Entertainment Inc,37390,36390,1000
DaVita HealthCare Partners Inc,292306,425556,-133250
Deckers Outdoor Corp,20685,19985,700
Deere & Co,23752,47252,-23500
Dell Inc,132150,71113,61037
Delphi Automotive PLC,99400,91900,7500
Delta Air Lines Inc,2473109,2410985,62124
Deluxe Corp,40336,34336,6000
Denali Therapeutics Inc,7976,6976,1000
DENTSPLY International Inc,52786,62387,-9601
Deutsche Bank AG,84000,84000,0
Devon Energy Corp,339170,264470,74700
DeVry Inc,49822,44822,5000
DexCom Inc,4250,0,4250
Diamondback Energy Inc,72916,59426,13490
DiamondRock Hospitality Co,215749,166549,49200
Dick's Sporting Goods Inc,136457,251107,-114650
Diebold Inc,68900,68900,0
Digital Realty Trust Inc,29286,28636,650
Dillard's Inc,15164,15164,0
DineEquity Inc,19797,17297,2500
Diodes Inc,38369,38369,0
Discover Financial Services,435296,399169,36127
Discovery Communications Inc,1289985,1279985,10000
DISH Network Corp,333550,642659,-309109
DocuSign Inc,3659,3659,0
Dolby Laboratories Inc,17119,0,17119
Dollar General Corp,443395,497578,-54183
Dollar Tree Inc,242577,112128,130449
Dominion Resources Inc/VA,1722892,1932471,-209579
Domino's Pizza Inc,41643,75198,-33555
Domtar Corp,586864,586031,833
Donaldson Co Inc,83606,76706,6900
Donnelley Financial Solutions Inc,40964,35664,5300
Dorman Products Inc,325761,323030,2731
Douglas Emmett Inc,168675,124675,44000
Dover Corp,40534,59984,-19450
Dow Inc,195104,319818,-124714
DR Horton Inc,140046,99842,40204
Drew Industries Inc,19369,16769,2600
Dril-Quip Inc,36033,35933,100
Dropbox Inc,26720,20276,6444
DSW Inc,62400,62400,0
DTE Energy Co,68026,96427,-28401
Duke Energy Corp,996218,1016755,-20537
Duke Realty Corp,257174,228374,28800
DuPont de Nemours Inc,718772,633935,84837
DXC Technology Co,350530,485839,-135309
DXP Enterprises Inc,2500,1500,1000
Dycom Industries Inc,28918,28918,0
Dynamic Materials Corp,14300,11800,2500
ETRADE Financial Corp,381793,370156,11637
Eagle Bancorp Inc,21400,18300,3100
Eagle Materials Inc,64096,31636,32460
Eagle Pharmaceuticals Inc/DE,11817,10317,1500
East West Bancorp Inc,267253,107291,159962
Easterly Government Properties Inc,92900,62000,30900
EastGroup Properties Inc,31718,27439,4279
Eastman Chemical Co,127329,127329,0
Eaton Corp PLC,490102,451912,38190
Eaton Vance Corp,83409,70609,12800
eBay Inc,1082981,471431,611550
Ebix Inc,21134,18934,2200
Echo Global Logistics Inc,32535,29235,3300
EchoStar Corp,106320,67630,38690
Ecolab Inc,68929,43490,25439
Edgewell Personal Care Co,50108,44508,5600
Edison International,50845,48795,2050
Edwards Lifesciences Corp,76353,57600,18753
eHealth Inc,16916,14716,2200
Eidos Therapeutics Inc,7185,0,7185
El Pollo Loco Holdings Inc,43900,34900,9000
Elanco Animal Health Inc,155175,0,155175
Elastic NV,6847,1121,5726
Elbit Systems Ltd,300,300,0
Electronic Arts Inc,127324,98474,28850
Eli Lilly & Co,296534,395684,-99150
EMCOR Group Inc,40502,34202,6300
Emergent BioSolutions Inc,35036,32136,2900
Emerson Electric Co,155474,163207,-7733
Employers Holdings Inc,30585,27685,2900
Enanta Pharmaceuticals Inc,14900,12200,2700
Enbridge Inc,93500,93500,0
Encana Corp,61938,61938,0
Encore Capital Group Inc,29703,24703,5000
Encore Wire Corp,17867,14867,3000
Endava PLC,377886,346736,31150
Energizer Holdings Inc,123697,107258,16439
Energy Transfer Equity LP,54423,25337,29086
EnerSys Inc,33152,28852,4300
Enova International Inc,36800,32600,4200
EnPro Industries Inc,18719,16419,2300
Ensign Group Inc/The,43004,39104,3900
Entegris Inc,21552,14813,6739
Entergy Corp,82562,102262,-19700
Enterprise Products Partners LP,10857048,10892598,-35550
Envestnet Inc,2860,2860,0
EOG Resources Inc,235542,164361,71181
EPAM Systems Inc,198332,180094,18238
ePlus Inc,11785,10485,1300
EPR Properties,80237,119437,-39200
EQT Corp,251400,515520,-264120
Equifax Inc,26823,26803,20
Equinix Inc,51166,43946,7220
Equitrans Midstream Corp,198500,112300,86200
Equity Lifestyle Properties Inc,58750,33580,25170
Equity Residential,119143,175808,-56665
Era Group Inc,26568,24068,2500
ESCO Technologies Inc,7700,5200,2500
Esperion Therapeutics Inc,35952,50702,-14750
Essential Properties Realty Trust Inc,56900,0,56900
Essex Property Trust Inc,39236,39186,50
Estee Lauder Cos Inc/The,214053,189834,24219
Ethan Allen Interiors Inc,24234,20634,3600
Etsy Inc,108180,73168,35012
Euronet Worldwide Inc,6566,6566,0
Everbridge Inc,3276,3276,0
Evercore Partners Inc,167924,63824,104100
Everest Re Group Ltd,20550,20600,-50
Evergy Inc,411866,328146,83720
EVERTEC Inc,43900,37300,6600
EW Scripps Co,61454,54654,6800
Exact Sciences Corp,2247662,2111378,136284
Exelixis Inc,281791,262891,18900
Exelon Corp,1023558,1245626,-222068
ExlService Holdings Inc,28252,25852,2400
Expedia Inc,155465,91297,64168
Expeditors International of Washington Inc,40859,36072,4787
Exponent Inc,61032,46132,14900
Extended Stay America Inc,1636792,1038884,597908
Exterran Corp,43601,35501,8100
Extra Space Storage Inc,97819,101616,-3797
Extreme Networks,105200,101400,3800
Exxon Mobil Corp,4167967,4342392,-174425
F5 Networks Inc,346483,359633,-13150
Fabrinet,30552,27252,3300
Facebook Inc,2620718,2607749,12969
FactSet Research Systems Inc,75605,64225,11380
Fair Isaac Corp,24440,23820,620
FARO Technologies Inc,15650,13150,2500
Fastenal Co,7781471,7905816,-124345
Fastly Inc,1275790,0,1275790
Fate Therapeutics Inc,14273,14273,0
Federal Realty Investment Trust,34988,34438,550
Federal Signal Corp,50176,45176,5000
Federated Investors Inc,68400,58600,9800
FedEx Corp,86548,165021,-78473
Ferrari NV,6150,6150,0
Ferro Corp,57400,43200,14200
Fiat Chrysler Automobiles NV,44193,44193,0
Fidelity National Information Services Inc,229590,117495,112095
Fiesta Restaurant Group Inc,51966,44666,7300
Fifth Third Bancorp,165995,203558,-37563
First American Financial Corp,112111,80461,31650
First BanCorp/Puerto Rico,218000,197200,20800
First Financial Bancorp,71500,64400,7100
First Financial Bankshares Inc,109054,109054,0
First Horizon National Corp,321458,254265,67193
First Industrial Realty Trust Inc,99378,92078,7300
First Midwest Bancorp Inc/IL,107455,95455,12000
First Republic Bank/CA,2351775,2431678,-79903
First Solar Inc,80397,79749,648
First Trust Senior Loan ETF,184100,184100,0
FirstEnergy Corp,167265,159815,7450
Fiserv Inc,197808,196769,1039
Five Below Inc,70718,45518,25200
Five9 Inc,6209,4277,1932
FleetCor Technologies Inc,18051,32101,-14050
Flextronics International Ltd,29141,0,29141
FLIR Systems Inc,144478,136337,8141
Flowers Foods Inc,250413,139643,110770
Flowserve Corp,50434,52034,-1600
Fluor Corp,144036,97400,46636
FMC Corp,632880,641827,-8947
FMC Technologies Inc,193687,114873,78814
FNB Corp/PA,272996,214725,58271
Foot Locker Inc,36600,88200,-51600
Ford Motor Co,1403715,1400165,3550
FormFactor Inc,73900,72400,1500
Fortinet Inc,220254,232173,-11919
Fortis Inc/Canada,17764,17600,164
Fortive Corp,2719975,2791274,-71299
Fortress Transportation & Infrastructure Investors,796957,786724,10233
Fortune Brands Home & Security Inc,43400,114786,-71386
Forward Air Corp,24288,20988,3300
Fossil Group Inc,47100,44300,2800
Four Corners Property Trust Inc,79429,71029,8400
Fox Factory Holding Corp,29655,26955,2700
Franco-Nevada Corp,9750,9725,25
Franklin Electric Co Inc,25785,24085,1700
Franklin Financial Network Inc,21400,21200,200
Franklin Resources Inc,167963,416213,-248250
Franklin Street Properties Corp,88482,82182,6300
Freeport-McMoRan Copper & Gold Inc,397193,403449,-6256
frontdoor Inc,80532,57392,23140
FTI Consulting Inc,30437,30437,0
Fulton Financial Corp,168260,141060,27200
FutureFuel Corp,22799,20999,1800
Galera Therapeutics Inc,25000,0,25000
Gap Inc/The,146806,138806,8000
Gardner Denver Holdings Inc,308385,317685,-9300
Garmin Ltd,57137,87107,-29970
